Key,Source,Context,Changes,English,French,German,Klingon,Spanish
treasure_jennifer_offer,,Challenge Info,KgNone,"To whomever finds this note,\nFriend the end is near. The monsters are breaking down my door but in my final moments I can only think of how I want to be remembered. Not as a coward but as someone who thinks of others. I leave you this map to one of my many secret buried chests.\n\nGod Bless You Jennifer","À qui trouvera ce message,\nCamarade, la fin est proche. Les monstres s'apprêtent à enfoncer ma porte. Dans mes derniers instants, je pense à ce que je laisse derrière moi. J'aimerais que les gens pensent à mon altruisme plutôt qu'à ma lâcheté. Je te laisse cette carte qui te guidera vers l'un de mes nombreux coffres secrets enterrés.\n\nQue Dieu te bénisse, Jennifer","An denjenigen, der diese Notiz findet!\nFreund, das Ende ist nahe. Die Monster brechen meine Tür auf, aber in meinen letzten Momenten kann ich nur daran denken, wie ich in Erinnerung bleiben möchte. Nicht als Feigling, sondern als jemand, der an andere denkt. Ich hinterlasse dir diese Karte, die dich zu einer meiner vielen geheimen Truhen führt, die ich vergraben habe.\n\nGott segne dich! Jennifer",,"A quier corresponda:\nAmigo, el final está cerca. Los monstruos están derribando la puerta, pero en mis últimos momentos, solo puedo pensar en cómo quiero que me recuerden. No como una cobarde, sino como alguien que pensaba en los demás. Te dejo este mapa. Lleva hacia uno de mis muchos cofres secretos enterrados.\n\nDios te bendiga, Jennifer."
treasure_jennifer_subtitle,,Challenge Info,KgNone,Jennifer's Treasure Map,La carte au trésor de Jennifer,Jennifers Schatzkarte,,Mapa del tesoro de Jennifer
treasure_nickole_offer,,Challenge Info,KgNone,"To whom it may concern,\nIf you've come to possess this note than quite possibly I've been eaten by the dead. Follow this map to one of my many valuable treasure locations I buried to keep safe from Crazy Jake. If you find it may you make good use of it.\n\nBest Wishes Nickole","À qui lira ce message,\nSi tu as ces mots en ta possession, c'est que les morts ont fini par me dévorer. Suis cette carte pour trouver l'un des nombreux et précieux trésors que j'ai protégés de Jake le cinglé. Si tu le trouves, utilise-le à bon escient.\n\nAmicalement, Nickole","An alle, die es angeht!\nWenn du im Besitz dieser Notiz bist, dann ist es gut möglich, dass ich von den Toten aufgefressen wurde. Folge dieser Karte zu einem meiner Verstecke mit wertvollen Schätzen, die ich vergraben habe, damit Crazy Jake sie nicht findet. Wenn du es findest, mach das Beste daraus.\n\nLiebe Grüße Nickole",,"A quien corresponda:\nSi encontraste esta nota, probablemente fui cena de los muertos. Sigue este mapa para encontrar uno de mis muchos tesoros. Están enterrados bajo tierra para ocultarlos de Jake el Loco. Si lo encuentras, espero que te sea útil.\n\nBuena suerte, Nickole."
treasure_nickole_subtitle,,Challenge Info,KgNone,Nickole's' Treasure Map,La carte au trésor de Nickole,Nickoles Schatzkarte,,Mapa del tesoro de Nickole
treasure_raphael_offer,,Challenge Info,KgNone,"Dear Stranger,\nI've got the cold sweats and it won't be long. All I can think of in my final hour is if my son Joey is still alive. I have no reason to trust you but I have no choice. Crazy Jake has kidnapped him. In your hand is a map to one of my many secret supply caches. Promise me if you find it you'll help my son.\n\nI'm counting on you Raphael","Bonjour,\nJ'ai des sueurs froides et il ne me reste pas longtemps à vivre. Dans ma dernière heure, une seule pensée m'obsède : et si mon fils Joey était toujours en vie ? Je n'ai aucune raison de te faire confiance, mais je n'ai pas d'autre choix. Jake le cinglé l'a enlevé. Tu as entre les mains la carte vers l'une de mes nombreuses cachettes secrètes de provisions. Promets-moi que si tu la trouves, tu iras aider mon fils.\n\nJe compte sur toi, Raphael.","Lieber Fremder!\nDer kalte Schweiß ist ausgebrochen, jetzt dauert es nicht mehr lange. In meinen letzten Momenten kann ich nur daran denken, ob mein Sohn Joey noch lebt. Ich habe keinen Grund, dir zu vertrauen, aber mir bleibt nichts anderes übrig. Crazy Jake hat ihn entführt. Du hältst eine Karte zu einem meiner vielen geheimen Vorratslager in Händen. Versprich mir, dass du meinem Sohn helfen wirst, wenn du es findest.\n\nIch zähle auf dich! Raphael",,"Querido/a extraño/a:\nTengo escalofríos y no duraré mucho más. Todo lo que puedo pensar en mis últimos momentos es si mi hijo Joey seguirá vivo. No tengo razones para confiar en ti, pero tampoco tengo alternativa. Jake el Loco lo secuestró. En las manos tienes un mapa que te llevará hacia uno de mis muchos escondites de suministros secretos. Prométeme que si lo encuentras, ayudarás a mi hijo.\n\nCuento contigo, Raphael."
treasure_raphael_subtitle,,Challenge Info,KgNone,Raphael's Treasure Map,La carte au trésor de Raphael,Raphaels Schatzkarte,,Mapa del tesoro de Raphael
treasure_sarah_offer,,Challenge Info,KgNone,"If you found this note,\nThis may be your lucky day. I've been bitten by one of the creatures and the fever has taken hold. I don't have long but the least I could do before I turn is help someone, anyone as God would want me to. If there is still a God. So I leave you with this map to one of my many buried supply chests.\n\nTo a new life Sarah","Si tu as trouvé ce message,\nC'est ton jour de chance. J'ai été mordue par l'une des créatures et ma fièvre est de plus en plus forte. Il ne me reste pas longtemps à vivre, mais le moins que je puisse faire avant de me transformer est d'aider quelqu'un d'autre, n'importe qui, comme Dieu le voudrait. S'il existe encore. Je te laisse donc cette carte qui te guidera vers l'un de mes nombreux coffres de provisions enterrés.\n\nAdieu, Sarah","Wenn du diese Notiz gefunden hast,\ndann ist heute vielleicht dein Glückstag. Ich wurde von einer dieser Kreaturen gebissen und das Fieber hat schon eingesetzt. Mir bleibt nicht mehr viel Zeit, aber bevor ich mich verwandle, kann ich zumindest jemandem helfen, so wie es Gott gewollt hätte. Falls es noch einen Gott gibt. Darum hinterlasse ich dir diese Karte, die dich zu einer meiner vielen vergrabenen Vorratstruhen führt.\n\nAuf ein neues Leben! Sarah",,"Al que encuentre esta nota:\nPuede que sea tu día de suerte. Una de esas criaturas me mordió. Tengo mucha fiebre. No me queda mucho tiempo, pero por lo menos puedo ayudar a alguien antes de convertirme. A cualquiera, tal y como Dios querría. Si es que aún hay un Dios. Te dejo este mapa. Lleva hacia uno de mis muchos cofres de suministros enterrados.\n\nPor una vida nueva, Sarah."
treasure_sarah_subtitle,,Challenge Info,KgNone,Sarah's Treasure Map,La carte au trésor de Sarah,Sarahs Schatzkarte,,Mapa del tesoro de Sarah
treasure_stephan_offer,,Challenge Info,KgNone,"Dear Friend,\nIf you've got this note than I'm probably dead or even worse one of the monsters. I leave you this map to one of my many stockpiles of buried supplies. If you find it promise me you'll use it to make the world a better place again.\n\nYours Truly Stephan","Camarade,\nSi tu lis ce message, je suis certainement mort ou, pire, je suis devenu l'un des monstres. Je te laisse donc cette carte, qui te guidera vers l'un de mes nombreux stocks enterrés. Si tu le retrouves, promets-moi que tu t'en serviras pour rendre ce monde meilleur.\n\nTon serviteur, Stephan","Lieber Freund!\nWenn du diese Notiz hast, dann bin ich wahrscheinlich tot oder, noch schlimmer, eines von den Monstern. Ich hinterlasse dir diese Karte, die dich zu einem meiner zahlreichen Verstecke führt, wo ich Vorräte vergraben habe. Wenn du es findest, versprich mir, dass du diese Welt damit wieder zu einem besseren Ort machst.\n\nHochachtungsvoll Stephan",,"Querido/a amigo/a:\nSi tienes esta nota, probablemente esté muerto, o peor, puede que sea uno de esos monstruos. Te dejo este mapa. Te llevará a una de mis muchas reservas de suministros enterradas. Si la encuentras, promete que la usarás para hacer de este mundo un lugar mejor otra vez.\n\nCon amor, Stephan."
treasure_stephan_subtitle,,Challenge Info,KgNone,Stephan's Treasure Map,La carte au trésor de Stephan,Stephans Schatzkarte,,Mapa del tesoro de Stephan
treasure_taylor_offer,,Challenge Info,KgNone,"Dear Survivor,\nIf you're reading this note than the worst has probably happened and the odds are I'm dead. But rather than let all my stashes of supplies go to waste I'd like you to have one of them. I've marked the location on this map for you.\n\nGood Luck Taylor","Bonjour,\nSi tu lis ce message, c'est que le pire est arrivé et que je n'ai probablement pas survécu. Plutôt que de gaspiller toutes mes réserves, je voudrais que tu en utilises une. L'emplacement est indiqué sur cette carte.\n\nBonne chance, Taylor","Lieber Überlebender!\nWenn du diese Notiz liest, dann ist wohl das Schlimmste eingetreten und ich bin wahrscheinlich tot. Aber da ich nicht möchte, dass niemand etwas von meinen Vorräten hat, sollst du eines meiner Verstecke aufsuchen. Ich habe den Standort auf dieser Karte markiert.\n\nViel Glück! Taylor",,"Querido/a sobreviviente:\nSi estás leyendo esta nota, probablemente sucedió lo peor y la muerte me haya llevado. Pero en lugar de dejar que mi alijo se desperdicie, quiero que tú lo tengas. Marqué su ubicación en este mapa.\n\nBuena suerte, Taylor."
treasure_taylor_subtitle,,Challenge Info,KgNone,Taylor's Treasure Map,La carte au trésor de Taylor,Taylors Schatzkarte,,Mapa del tesoro de Taylor
difficulty_easy,,Difficulty,KgNone,Easy,Facile,Einfach,,Fácil
difficulty_hard,,Difficulty,KgNone,Hard,Difficile,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,Insane,Extrême,Irre,,Demente
difficulty_medium,,Difficulty,KgNone,Medium,Moyenne,Mittel,,Medio
difficulty_veryeasy,,Difficulty,KgNone,Very Easy,Très facile,Sehr einfach,,Muy fácil
completed,,Keywords,KgNone,Completed,Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,Failed,Échec,Fehlgeschlagen,,Fallida
ObjectiveAnimalKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,Assemble,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockActivate_keyword,,Keywords,KgNone,Activate,,,,
ObjectiveBlockPickup_keyword,,Keywords,KgNone,Pickup,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,Place,Placer,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,Upgrade,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,Get,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,Craft,Fabriquez,gefertigt,,Fabrica
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,Fill,Remplir,Füllen,,Llena
ObjectiveFetch_keyword,,Keywords,KgNone,Gather,Collectez,gesammelt,,Reúne
ObjectiveFetchContainer_keyword,,Keywords,KgNone,Find,,,,
ObjectiveGoto_keyword,,Keywords,KgNone,Locate {0},Trouver {0},Finde {0},,Ubicar {0}
ObjectiveLocateSupplies_keyword,,Keywords,New,Locate Supplies,,,,
ObjectiveNearby_keyword,,Keywords,New,Nearby,,,,
ObjectiveOpenWindow_keyword,,Keywords,KgNone,Open {0} Window,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRallyPointActivate,,Keywords,New,Activate Rally Point,,,,
ObjectiveRallyPointHeadTo,,Keywords,New,Head to Rally Point,,,,
ObjectiveRepair_keyword,,Keywords,KgNone,Repair,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,Scrap,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,Purchase {0} Skill Level(s),Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,Time,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,New,Locate Treasure,,,,
ObjectiveWaitForActivate_keyword,,Keywords,New,Wait for Activate,,,,
ObjectiveWear_keyword,,Keywords,KgNone,Wear,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
optional,,Keywords,KgNone,Optional,Facultative,Optional,,Opcional
RequirementBuff_keyword,,Keywords,KgNone,Effect,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,Using,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,Wear,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,EXP,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,New Quest,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,Recipe Unlocked,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,Skill,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,Skill Point,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
RewardTypeChainQuest,,Keywords,KgNone,Chain Reward,Récompense de série,Serienbelohnung,,Cadena de recompensas
RewardTypeQuest,,Keywords,KgNone,Reward,Récompense,Belohnung,,Recompensa
started,,Keywords,KgNone,Started,En cours,Begonnen,,Empezada
Tip_keyword,,Keywords,KeyTrunk FrNone GrNone KgNone SpNone,Tip,Astuce,Tipp,,Consejo
poiLockoutBedroll,,POI Lockout,New,There is a bedroll placed inside the POI you are wanting to quest in. Please come back later.,,,,
poiLockoutLandClaim,,POI Lockout,New,There is a landclaim placed inside the POI you are wanting to quest in. Please come back later.,,,,
poiLockoutPlayerInside,,POI Lockout,New,There is a player inside the POI you are wanting to quest in. Please come back later.,,,,
poiLockoutQuestLock,,POI Lockout,New,This area is not available for questing at this time. Please come back later.,,,,
airDropTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Air Supply Drops can happen around mid-day. Listen for the airplane and follow the orange smoke to find the crate the plane drops. You can also find supply crates marked on your map if the mark air drops option is enabled.,Des parachutages de provisions peuvent avoir lieu autour de midi. Tendez l'oreille pour repérer les avions et suivez la fumée orange pour trouver la caisse parachutée. Vous pouvez également repérer des caisses de provisions sur votre carte si l'option de marquage des parachutages est activée.,"Abwürfe von Vorräten können zur Mittagszeit vorkommen. Horche nach den Flugzeugen und folge dem orangefarbenen Rauch, um die Kisten zu finden, die die Flugzeuge fallen gelassen haben. Du kannst Vorratskisten auch auf deiner Karte finden, wenn die Funktion „Abwürfe aus der Luft markieren“ aktiviert ist.",,La entrega aérea de suministros puede suceder alrededor del mediodía. Localiza el zumbido del avión y sigue el humo naranja para encontrar la caja de suministros. También puedes encontrar cajas de suministros en tu mapa si la opción marcar suministros aéreos está activada.
airDropTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Air Drops,Parachutages,Abwurf aus der Luft,,Suministros aéreos
alternateAmmoTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Some weapons have more than one ammo type. Equip the weapon and hold the reload action to see and load the possible ammo types for a weapon.,Certaines armes fonctionnent avec plusieurs types de munitions. Maintenez l'action de rechargement enfoncée pour afficher les types de munitions possibles d'une arme et recharger.,"Einige Waffen funktionieren mit mehr als einem Munitionstyp. Halte die Aktion „Nachladen“, um die möglichen Munitionstypen für eine Waffe anzusehen und zu laden.",,Algunas armas cuentan con más de un tipo de munición. Mantén pulsada la acción de recargar para ver y cargar los tipos posibles de munición de un arma.
alternateAmmoTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Alternate Ammo,Munitions alternatives,Munitionstyp wechseln,,Munición alternativa
augmentGunsTip,,Popup Tip,EnChanged,"Items like guns, melee weapons and armor can be upgraded by installing mods.\nEvery mod that takes up a mod slot increases a weapon's damage.\n\nClick the “Modify” action in the item inspect window and then drag the mod into a free slot.",,,,
augmentGunsTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Mod Items,Améliorer les armes à feu,Waffen verbessern,,Pistolas mejoradas
batteryBankTip,,Popup Tip,,"The Battery Bank allows you to power your electrical components. It requires at least one battery, expandable up to six. The maximum energy output is determined by the number of batteries installed and their quality. An externally powered and turned on Battery Bank will recharge its batteries. If there are no batteries installed it acts as a relay pushing power down line. Requires a wire tool to add and cut wires between electrical components.",,,,
batteryBankTip_title,,Popup Tip,,Battery Bank,,,,
bedrollTip,,Popup Tip,EnChanged,When you place a Bedroll you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die. You can only have one bedroll active so your last placed bedroll is your active bedroll. A placed and active bedroll will prevent enemy respawn in the area.,,,,
bedrollTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Bedroll,Sac de couchage,Schlafsack,,Saco de dormir
cameraTip,,Popup Tip,,"If you have an aim-able electrical item such as an auto-turret, motion sensor or spotlight you can set its default aim by opening it, clicking into the camera preview area, holding down your primary action and aiming to the desired position. After this is complete hit escape and exit the component.",,,,
cameraTip_title,,Popup Tip,,Camera,,,,
campfireTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Campfires are used to keep you warm, cook food, purify water and for simple chemistry. You must place wood or burnable objects in the fuel slots to use it and have all recipe ingredients in your inventory. Craft even more recipes in the campfire by adding a cooking pot, cooking grill or beaker in the utensils slot. Hold E to pick up Workstations within your land claim area.",,,,
campfireTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Campfires,Feux de camp,Lagerfeuer,,Fogatas
cementMixerTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,The Cement Mixer helps you craft concrete and asphalt to make stronger base walls and can mill rocks into sand. To craft recipes here you must have all ingredients in your inventory. Hold E to pick up Workstations within your land claim area.,,,,
cementMixerTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Cement Mixer,Bétonnière,Zementmischer,,Hormigonera
chemistryStationTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"The Chemistry Station enables you craft additional chemicals, liquids and compounds. While some recipes are also available at a Campfire the Chemistry Station requires fewer resources. To craft recipes here you must have all ingredients in your inventory. Hold E to pick up Workstations within your land claim area.",,,,
chemistryStationTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Chemistry Station,Atelier de chimie,Chemiestation,,Estación de química
coldWeatherTip,,Popup Tip,EnChanged,"If you’re getting cold, you can combat this by wearing clothing, getting indoors, standing near a fire or carrying a torch. Items with a higher hypothermal rating are better and offer more protection against cold weather. You can see an items hyporthermal rating by inspecting it.",,,,
coldWeatherTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Cold Weather,Températures basses,Kaltes Wetter,,Clima frío
encumbranceTip,,Popup Tip,New,Encumbrance,,,,
encumbranceTip_title,,Popup Tip,New,If too many slots in your inventory are filled then you will be encumbered. Only the total number matters.\n\nThe Pack Mule perk as well as buffs or items can increase the number of unlocked slots.,,,,
farmingTip,,Popup Tip,EnChanged,Use your fists or any tool to harvest crops. After you have bought the required level in the 'Living Off The Land' perk you can craft seeds from harvested crops. Seeds can only be planted on tilled soil. Use the secondary action while holding a Garden Hoe to upgrade dirt to fertile dirt. Plant seeds on tilled soil using the secondary action and increase your harvesting yield through buying more levels of the perk. ,,,,
farmingTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Farming,Culture,Ackerbau,,Agricultura
firstAidTip,,Popup Tip,EnChanged,"Heal yourself or stop bleeding by holding a Bandage, First Aid Bandage, First Aid Kit or Blood Bag and using the primary action. Heal others with the same items using the secondary action.\n\nUse bandages or med kits to restore your max health cap,  which is shown in black on the health bar.",,,,
firstAidTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,First Aid,Premiers soins,Erste Hilfe,,Primeros auxilios
forgeTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Forges are used to smelt metals and resources to craft recipes. Recipes can only be crafted at the forge using the smelted resources - not items from your inventory. Unlock more recipes in the forge by adding an anvil, crucible or tool and die set. Hold E to pick up Workstations within your land claim area.",,,,
forgeTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Forges,,,,
generatorBankTip,,Popup Tip,,"The Generator Bank allows you to power your electrical components. It requires at least one engine, expandable up to six. The maximum energy output is determined by the number of engines installed and their quality. The generator bank uses gas for fuel which can be found in loot and purchased at traders or crafted at chemical stations and campfires. Requires a wire tool to add and cut wires between electrical components.",,,,
generatorBankTip_title,,Popup Tip,,Generator Bank,,,,
gunAssemblyTip,,Popup Tip,EnChanged,To assemble a Gun or Motorized Tool or upgrade it with better parts you must have all the parts in your inventory and have read the schematic. Build it by selecting the part in your inventory and clicking on the “Assemble” action. These recipes will not appear in Crafting menus.,,,,
gunAssemblyTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Item Assembly,Assemblage d'objet,Gegenstand zusammensetzen,,Armado de objeto
harvestTip,,Popup Tip,EnChanged,Use any bladed tool or weapon like a Bone Shiv to skin an animal. Using a wrench to break down cars or mechanical items for advanced resources. Perks can increase the harvest yield in several areas.,,,,
harvestTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Harvesting Resources,Récolte des ressources,Rohstoffe abbauen,,Recolección de recursos
hotWeatherTip,,Popup Tip,EnChanged,"If your overheating, you can combat this by wearing clothing, drinking certain beverages, and getting indoors. Items with a higher hyperthermal rating are better and offer more protection against hot weather. You can see an items hyperthermal rating by inspecting it.",,,,
hotWeatherTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Hot Weather,Températures élevées,Heißes Wetter,,Clima caluroso
landClaimTip,,Popup Tip,,"A land claim grants a hardness modifier to all blocks in your claim area. This hardness modifier applies to any attacks or damage to blocks by enemy players. You can pick up and move electrical components and work stations inside your claim. Electrical Items outside of your claim can be cut and wired by strangers. When placing a block you will see a colored placement preview. Colors are as follows: Green inside your claim, Yellow inside your friends claim, White everywhere else, Red you cannot place the block. You can only have one active land claim block at a time. Placing another will deactivate your previous block. Enemies will not respawn within your claimed area. ",,,,
landClaimTip_title,,Popup Tip,,Land Claim,,,,
meleeToolWireToolTip,,Popup Tip,,"Use a wiring tool to connect electrical components. The first component you attach the wire to will be the parent component. Focus on any electrical component and use the secondary action to add a wire to that component and once again to complete the connection to a second component. Focus on any electrical component and use the primary action to remove or cut that components wire to its parent component. With the wire tool equipped you can see many useful things including: a components power usage and current power status, the flow of power represented on the wires by moving pulse from parent component to its child component and the aiming and view cone angle of objects with motion sensing capabilities.",,,,
meleeToolWireToolTip_title,,Popup Tip,,Wire Tool,,,,
miningTip,,Popup Tip,,"All biomes have iron ore and a rare chance for all ores. Each biome has a predominate ore which can be found in that biome near bedrock. Special ores per biome are nitrate in snow and wasteland, lead in the pine forests, coal in the burnt forests, and oil shale in the desert. Boulders are typically found where ore veins exist close to the surface. Clay Soil can be dug up almost everywhere.",,,,
miningTip_title,,Popup Tip,,Mining,Extraction minière,Bergbau,,Minería
onFireTip,,Popup Tip,New,"Some weapons, zombies, or parts of the environment can set you on fire. To extinguish that fire you can jump into water, submerging yourself, or 'drink' an item like a water jar. Drinking water will also prevent being set on fire for 10 seconds.",,,,
onFireTip_title,,Popup Tip,New,On Fire,,,,
paintingTip,,Popup Tip,,Use a paint brush and paint to give your base a custom look. Focus on any paint-able block and use the secondary action to paint a surface and the primary action to erase the paint from a surface. Hold the reload key to see additional painting features and change the desired paint color. Unlock additional paint groups by finding and reading painting books. Creative mode has even more paint features.,,,,
paintingTip_title,,Popup Tip,,Painting,,,,
passthroughTriggeringTip,,Popup Tip,,"Any combination of trigger plates, motion sensors, and trip wires will use Passthrough Triggering. This activates all directly connected trigger components when the Parent is triggered. An example usage of this is surrounding your base with a network of trip wires to sound an alarm.",,,,
passthroughTriggeringTip_title,,Popup Tip,,Passthrough Triggering,,,,
questTip,,Popup Tip,,The traders now have jobs available for survivors who are up for the challenge. Clear quests require exterminating all zombie and hostile animals from the building. Fetch quests task the player with finding supplies in a building. Hidden Cache quests are similar to fetch quests but have a hotzone mechanic when close to the item. Buried Supply quests have the player track down a buried stash and return the supplies to the trader. These objectives are mix and matched in higher tiers to create harder challenges for the player. There are six quest tier groups the player can complete. Receive special rewards for each quest and graduating each tier.,,,,
questTip_title,,Popup Tip,,Quests,,,,
powerAttackTip,,Popup Tip,,Use the primary action to attack enemies and damage structures. Use the secondary action to perform a power attack which does more damage but costs more stamina. Power attacks do not work with repair tools like stone axes and hammers.,,,,
powerAttackTip_title,,Popup Tip,,Power Attack,,,,
skillPointTip,,Popup Tip,EnChanged,"You have earned Skill Points. Spend them by accessing your Inventory and navigating to the Skills menu, then highlight the desired Attribute or Perk and purchase it. Perks grant you specific abilities and higher perk levels require certain attribute levels.",,,,
skillPointTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Spending Skill Points,Dépense de points de compétence,Fertigkeitspunkte verteilen,,Gastar puntos de habilidad
solarBankTip,,Popup Tip,,"The Solar Bank allows you to power your electrical components. It requires at least one solar cell, expandable up to six. The maximum energy output is determined by the number of solar cells installed and their quality. Solar banks produce power during the day when in direct sunlight. Solar cells can be purchased from traders or found in loot. Requires a wire tool to add and cut wires between electrical components.",,,,
solarBankTip_title,,Popup Tip,,Solar Bank,,,,
survivalTip,,Popup Tip,,Your current health is displayed in red and max health is grey. Damaged health or your max health cap is displayed in black.\n\nEat food or use medicine to restore health. Use bandages or med kits to restore your max health cap.\n\nYour current stamina is displayed in blue and max stamina is grey. Damaged stamina or your max stamina cap is displayed in black.\n\nDrink water to restore stamina. Eat food to restore your max stamina cap.\n\nHealth and stamina recovery rate is determined by you hydration level found in the character stats menu.,,,,
survivalTip_title,,Popup Tip,New,Survival,,,,
tableSawTip,,Popup Tip,New,Use the table saw to unlock and craft a multitude of cosmetic recipes to customize and decorate your base. ,,,,
tableSawTip_title,,Popup Tip,New,Table Saw,,,,
traderTip,,Popup Tip,EnChanged,Traders can be found in the world at White River Settlements marked by a Flag and a Traitor Joel’s sign. Items can be bought and sold with Duke Coins. You can see your total cash in the upper corner of your inventory. Traders will restock items periodically. They also have a secret stash which has items only you can see. Some items can only be bought or sold in bundles. Traders are open for business between dawn and dusk. Invest in the Better Barter perk to improve your buying and selling skills with traders. Traders can also give you quests.,,,,
traderTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Traders,Marchands,Händler,,Vendedores
treasureMapTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Treasure maps can lead to really great loot. If you read and accept a Treasure Quest the map and compass will be marked with a treasure icon. Follow this icon and when you get close it will flash red. Make sure you are digging in the area when the compass icon is flashing red. Treasure is usually buried 2-3 meters underground. Invest in the Treasure Hunter Perk to make treasure hunting easier to find.,"Les cartes au trésor peuvent conduire à des butins de grande qualité. Lorsque vous lisez et acceptez une quête au trésor, la carte et la boussole indiquent l'icône du trésor. Suivez cette icône, elle clignotera en rouge lorsque vous en serez proche. Veillez à bien creuser dans la zone clignotant en rouge sur la boussole. Les trésors sont généralement enterrés à 2 ou 3 mètres de profondeur. Investissez dans l'avantage Chasseur de trésors pour trouver les trésors plus facilement.","Schatzkarten können dich zu wirklich toller Beute führen. Wenn du eine Schatzquest liest und annimmst, erscheint auf der Karte und dem Kompass ein Schatzsymbol. Folge diesem Symbol – wenn du dich dem Schatz näherst, beginnt es, rot zu blinken. Grabe in dem Gebiet, in dem das Symbol auf dem Kompass rot blinkt. Schätze sind meistens etwa 2 bis 3 Meter tief vergraben. Investiere in die Eigenschaft „Schatzsucher“ und die Schatzsuche wird dir leichter fallen.",,"Los mapas del tesoro te pueden llevar a botines fenomenales. Si lees y aceptas una misión de tesoro, aparecerá un icono de tesoro en el mapa y en la brújula. Sigue este ícono y verás que cuando estés cerca, empezará a parpadear en color rojo. Asegúrate de que estás cavando en la zona donde el ícono de la brújula parpadea en color rojo. Los tesoros suelen estar enterrados a unos 2 o 3 metros. Mejora tu beneficio de cazador de tesoros para que sea más fácil encontrarlos."
treasureMapTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Treasure Maps,Cartes au trésor,Schatzkarten,,Mapas del tesoro
